dt_s,vi_attitude_error_rad,vi_max_residual
0.2,0.11592645021193979,4.1481301185809764e-17
0.1,0.028827324269029942,2.4284434493666938e-17
0.05,0.007195808164152942,1.5970687692894826e-17
0.025,0.0017982420074419733,1.9572677955442316e-17
0.0125,0.000449515796908797,3.3268328083846703e-18
