dt_s,attitude_error_rad,momentum_error,max_residual
0.08,0.0001531105427664791,6.343475880730131e-05,9.309688125264328e-18
0.04,3.8256388917294665e-05,1.5851376019272266e-05,4.512307354538209e-18
0.02,9.562770344133354e-06,3.962387259733886e-06,1.7998805335802278e-18
0.01,2.3906096714705692e-06,9.905682746183374e-07,1.2546121987143314e-18
