time_s,attitude_error_rad,angular_rate_norm,torque_x,torque_y,torque_z
0.0,0.7810249675906655,0.2335936891052948,-2.66571577686236,1.7011914702891922,-1.2291277297010212
0.01,0.7831770202861834,0.20358359135317736,-2.604188454322316,1.675167657891874,-1.2117293794186301
0.02,0.7850390025136266,0.1742283228016507,-2.543463171830753,1.6490606337215727,-1.1946109379220757
0.03,0.7866168529563865,0.14552835596304373,-2.4835411283337847,1.6228864443192725,-1.1777624419067483
0.04,0.7879164640905045,0.11749116222085634,-2.424422565086068,1.5966603732576927,-1.1611740643421837
0.05,0.7889436796266137,0.09014136177661679,-2.3661068291796368,1.5703969671530498,-1.144836124093687
0.06,0.7897042922685614,0.0635552569010102,-2.3085924353187224,1.5441100617613708,-1.128739094822431
0.07,0.7902040417582251,0.038030845519856075,-2.251877125740201,1.5178128080609379,-1.1128736131894839
0.08,0.7904486131791953,0.015849885878072283,-2.19595792819836,1.4915176982315594,-1.0972304863901046
0.09,0.7904436354947901,0.019029118133055047,-2.1408312119499535,1.465236591449945,-1.0818006990452302
0.1,0.7901946802982767,0.0411195938358143,-2.0864927416910573,1.4389807394285195,-1.0665754194773405
0.11,0.7897072607553294,0.06444124105340741,-2.032937729411282,1.4127608116325396,-1.0515460053979209
0.12,0.7889868307206201,0.08755792334077235,-1.9801608841434353,1.3865869201174381,-1.0367040090335522
0.13,0.7880387840121253,0.11024524582878974,-1.9281564595979446,1.360468643934882,-1.0220411817172739
0.14,0.7868684538282003,0.13244175157379862,-1.8769182996813414,1.334415053062166,-1.0075494779713459
0.15,0.7854811122938121,0.15412724145998025,-1.826439881906921,1.3084347318152503,-0.9932210591068754
0.16,0.7838819701234936,0.17529584239016308,-1.7767143587134981,1.2825358017110233,-0.979048296365005
0.17,0.7820761763896554,0.1959476983338271,-1.7277345967150122,1.2567259437492764,-0.9650237736235381
0.18,0.7800688183858455,0.21608582040514024,-1.6794932139096737,1.2310124200893837,-0.9511402896919422
0.19,0.7778649215754211,0.2357147101364785,-1.6319826148825276,1.2054020951008668,-0.9373908602167383
0.2,0.7754694496168726,0.2548396911025114,-1.585195024039723,1.1799014557708603,-0.9237687192182952
0.21,0.7728873044577652,0.27346655699284333,-1.5391225169165752,1.1545166314550381,-0.910267320279039
0.22,0.7701233264899129,0.291601373898856,-1.4937570496046804,1.1292534129618101,-0.8968803374020917
0.23,0.7671822947589882,0.3092503631978783,-1.449090486346004,1.1041172709625595,-0.883601665558332
0.24,0.7640689272223318,0.326419829066222,-1.4051146253440219,1.0791133737234444,-0.8704254209388892
0.25,0.7607878810492137,0.3431161119416825,-1.3618212228437465,1.054246604156743,-0.8573459409291053
0.26,0.7573437529582717,0.35934555772360655,-1.3192020155338149,1.0295215761920113,-0.8443577838190418
0.27,0.7537410795872729,0.37511449687682946,-1.2772487413248348,1.0049426504693704,-0.8314557282647028
0.28,0.7499843378907388,0.3904292299770813,-1.2359531585588799,0.980513949359114,-0.8186347725132577
0.29,0.7460779455613465,0.40529601757244954,-1.1953070637054755,0.9562393713135265,-0.8058901334046943
0.3,0.7420262614713459,0.4197210730163207,-1.155302307599597,0.9321226045583163,-0.7932172451615449
0.31,0.73783358613056,0.43371055739766845,-1.1159308102772199,0.9081671401324561,-0.780611757977552
0.32,0.733504162157821,0.4472705759859794,-1.0771845744637294,0.8843762842864568,-0.7680695364154362
0.33,0.7290421747629663,0.4604071757932117,-1.0390556977701821,0.8607531702501963,-0.7555866576232457
0.34,0.7244517522367807,0.47312634397545306,-1.0015363836518925,0.8373007693824182,-0.7431594093781607
0.35000000000000003,0.7197369664465,0.4854340068767351,-0.9646189511832266,0.8140219017148804,-0.7307842879660194
0.36,0.7149018333347176,0.4973360295714257,-0.9282958437017607,0.7909192459049071,-0.7184579959043275
0.37,0.709950313419742,0.5088382157987777,-0.892559636374174,0.7679953486107639,-0.7061774395159995
0.38,0.7048863122956444,0.519946308209238,-0.8574030427353612,0.7452526333048719,-0.6939397263606571
0.39,0.6997136811304178,0.530665988860642,-0.8228189202513244,0.722693408540368,-0.6817421625298787
0.4,0.6944362171608425,0.5410028799158101,-0.7888002749554276,0.7003198756869594,-0.6695822498124646
0.41000000000000003,0.6890576641828025,0.5509625445028937,-0.7553402652065422,0.678134136152374,-0.6574576827354318
0.42,0.683581713035951,0.5605504877071411,-0.7224322046165916,0.6561381981060034,-0.6453663454861901
0.43,0.6780120020817635,0.569772157668297,-0.690069564193879,0.634333982721573,-0.6333063087210828
0.44,0.6723521176741382,0.5786329467620996,-0.6582459737475059,0.612723329955865,-0.6212758262652763
0.45,0.666605594621835,0.587138192847659,-0.6269552225970356,0.5913080038806262,-0.6092733317087936
0.46,0.6607759166421465,0.595293180565122,-0.5961912596304543,0.5700896975849113,-0.5972974349033394
0.47000000000000003,0.6548665168053074,0.603103142670138,-0.5659481927523096,0.5490700376651205,-0.585346918364422
0.48,0.6488807779692425,0.6105732613933601,-0.5362202877627882,0.5282505883200118,-0.573420733583217
0.49,0.6428220332043462,0.6177086698146452,-0.5070019667073213,0.507632855067917,-0.5615179972524937
0.5,0.636693566208071,0.6245144532428051,-0.478287805735186,0.48721828810333057,-0.5496379874109144
0.51,0.6304986117091811,0.6309956505927934,-0.45007253250439916,0.4670082853099249,-0.5377801395099562
0.52,0.6242403558615977,0.6371572557530885,-0.4223510231690842,0.4470041949469092,-0.5259440424077026
0.53,0.6179219366278352,0.6430042189368049,-0.3951182989843413,0.4272073180254969,-0.5141294342937437
0.54,0.6115464441520834,0.6485414480107579,-0.36836952256252264,0.4076189103920422,-0.5023361985494357
0.55,0.6051169211230519,0.6537738097973079,-0.34209999381369643,0.38824018453419756,-0.49056435954780725
0.56,0.5986363631267437,0.658706131344375,-0.3163051456019642,0.36907231112620487,-0.478814078397406
0.5700000000000001,0.5921077189893709,0.6633432011595078,-0.2909805391481898,0.35011642032917295,-0.46708564863445245
